"","LocationID","avg_tip","num_trips","Borough","Zone"
"1","46",0.6,1,"Bronx","City Island"
"2","15",0.510991096855974,10,"Queens","Bay Terrace/Fort Totten"
"3","175",0.421167137839392,16,"Queens","Oakland Gardens"
"4","121",0.349090988316551,24,"Queens","Hillcrest/Pomonok"
"5","98",0.34716941462177,29,"Queens","Fresh Meadows"
"6","222",0.322941741315059,18,"Brooklyn","Starrett City"
"7","6",0.316601887605386,38,"Staten Island","Arrochar/Fort Wadsworth"
"8","11",0.30749368669403,14,"Brooklyn","Bath Beach"
"9","210",0.305050090751145,36,"Brooklyn","Sheepshead Bay"
"10","150",0.30454041186177,12,"Brooklyn","Manhattan Beach"
"11","252",0.300709551654358,18,"Queens","Whitestone"
"12","135",0.292057062499493,77,"Queens","Kew Gardens Hills"
"13","206",0.288523023709557,27,"Staten Island","Saint George/New Brighton"
"14","117",0.287497786076583,13,"Queens","Hammels/Arverne"
"15","180",0.287157502162459,35,"Queens","Ozone Park"
"16","64",0.283325941990568,10,"Queens","Douglaston"
"17","111",0.27808189033189,6,"Brooklyn","Green-Wood Cemetery"
"18","109",0.273138124156545,3,"Staten Island","Great Kills"
"19","23",0.272152777777778,4,"Staten Island","Bloomfield/Emerson Hill"
"20","19",0.271294402493668,9,"Queens","Bellerose"
"21","47",0.270664952315277,25,"Bronx","Claremont/Bathgate"
"22","16",0.269347039616658,17,"Queens","Bayside"
"23","174",0.269049258791484,14,"Bronx","Norwood"
"24","63",0.263040501603201,40,"Brooklyn","Cypress Hills"
"25","21",0.260700860111513,28,"Brooklyn","Bensonhurst East"
"26","29",0.260423051646065,18,"Brooklyn","Brighton Beach"
"27","248",0.258019797519903,9,"Bronx","West Farms/Bronx River"
"28","58",0.257777777777778,1,"Bronx","Country Club"
"29","131",0.256266623856395,22,"Queens","Jamaica Estates"
"30","160",0.253803495713384,61,"Queens","Middle Village"
"31","101",0.252751770551947,11,"Queens","Glen Oaks"
"32","172",0.250388888888889,2,"Staten Island","New Dorp/Midland Beach"
"33","250",0.249203236496845,12,"Bronx","Westchester Village/Unionport"
"34","194",0.247993705416204,332,"Manhattan","Randalls Island"
"35","253",0.247058289092401,17,"Queens","Willets Point"
"36","60",0.245697453490402,14,"Bronx","Crotona Park East"
"37","155",0.243915561931606,33,"Brooklyn","Marine Park/Mill Basin"
"38","203",0.243656076397127,23,"Queens","Rosedale"
"39","9",0.243519332001586,33,"Queens","Auburndale"
"40","39",0.243345927344257,109,"Brooklyn","Canarsie"
"41","102",0.242646172374211,33,"Queens","Glendale"
"42","51",0.240403705172443,7,"Bronx","Co-Op City"
"43","171",0.240235314290529,25,"Queens","Murray Hill-Queens"
"44","57",0.237322088165932,15,"Queens","Corona"
"45","258",0.236003704885132,41,"Queens","Woodhaven"
"46","169",0.235891766397576,32,"Bronx","Mount Hope"
"47","245",0.234298589113696,34,"Staten Island","West Brighton"
"48","8",0.233732560401875,75,"Queens","Astoria Park"
"49","26",0.231130204170772,48,"Brooklyn","Borough Park"
"50","99",0.230588235294118,1,"Staten Island","Freshkills Park"
"51","67",0.230479661033987,30,"Brooklyn","Dyker Heights"
"52","124",0.22980063966576,45,"Queens","Howard Beach"
"53","197",0.229797133801785,127,"Queens","Richmond Hill"
